question,category,answer
"How can I register a land property?","Property Dispute","Visit the local Sub-Registrar Office with sale deed, identity proof, address proof, and property documents."
"What should I do if someone illegally occupies my land?","Property Dispute","Collect ownership documents and file a complaint with the local police station or civil court."
"How can I check land ownership records?","Property Dispute","Visit the state land records portal or Taluk office to verify ownership records."
"What documents are required for property registration?","Property Dispute","Sale deed, Aadhaar card, PAN card, passport-size photographs, and address proof."
"How can I transfer property to my family member?","Property Dispute","Execute a gift deed or sale deed and register it at the Sub-Registrar Office."
"What should I do if there is a boundary dispute with my neighbor?","Property Dispute","Contact local revenue officials for land measurement and seek legal assistance if necessary."
"Can inherited property be divided among family members?","Property Dispute","Yes, inherited property can be divided through a family settlement deed or partition suit."
"How do I file a consumer complaint?","Consumer Complaint","File a complaint through the National Consumer Helpline or Consumer Commission."
"What can I do if I receive a defective product?","Consumer Complaint","Contact the seller for replacement or refund and retain purchase proof."
"How do I complain about online shopping fraud?","Consumer Complaint","Contact the e-commerce platform and file a complaint with consumer authorities."
"What documents are needed for a consumer complaint?","Consumer Complaint","Invoice, payment receipt, product details, and communication records."
"What should I do if a service provider refuses a refund?","Consumer Complaint","File a formal complaint with the Consumer Commission."
"Can I complain against a bank for poor service?","Consumer Complaint","Yes, first approach the bank grievance cell and then the Banking Ombudsman."
"How do I report a cybercrime?","Cybercrime","Report the incident through the National Cyber Crime Reporting Portal or local police."
"What should I do if my social media account is hacked?","Cybercrime","Change passwords immediately and report the incident to the platform and cybercrime portal."
"How can I report online financial fraud?","Cybercrime","Call 1930 immediately and report the fraud on the cybercrime portal."
"What evidence should I keep for a cybercrime complaint?","Cybercrime","Screenshots, transaction details, emails, phone numbers, and messages."
"What should I do if I receive threatening messages online?","Cybercrime","Save the messages and file a cybercrime complaint."
"How can I report identity theft?","Cybercrime","Report it through the cybercrime portal and notify affected financial institutions."
"How can I apply for an income certificate?","Government Services","Apply through the e-Sevai center or state government portal."
"What documents are required for a community certificate?","Government Services","Identity proof, address proof, and supporting community documents."
"How do I apply for an old-age pension?","Government Services","Submit an application through the local government office with required documents."
"How can I obtain a birth certificate?","Government Services","Apply through the local municipality or online government portal."
"What is the process for getting a ration card?","Government Services","Submit an application with identity and residence proof through the food department portal."
"How do I apply for a widow pension scheme?","Government Services","Apply through the social welfare department with supporting documents."
"How can I get a residence certificate?","Government Services","Apply through the Taluk office or state online services portal."
